Linux 6.6.8-swap-profiling (amd3) 	12/10/24 	_x86_64_	(128 CPU)

08:14:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:19:10        all      0.98      0.00      4.87     61.44      0.00     32.71
08:19:11        all      0.28      0.00      6.59     63.06      0.00     30.07
08:19:12        all      0.28      0.00      9.12     67.10      0.00     23.50
08:19:13        all      0.23      0.00      9.48     75.41      0.00     14.88
08:19:14        all      0.25      0.00      6.86     78.07      0.00     14.82
08:19:15        all      0.16      0.00     15.92     73.98      0.00      9.94
08:19:16        all      0.17      0.00     27.67     70.15      0.00      2.00
08:19:17        all      0.17      0.00     17.25     81.28      0.00      1.30
08:19:18        all      0.16      0.00     20.87     77.32      0.00      1.64
08:19:19        all      0.18      0.00     22.55     75.81      0.00      1.46
08:19:20        all      0.15      0.00      4.37     93.94      0.00      1.54
08:19:21        all      0.33      0.00      4.61     85.73      0.00      9.33
08:19:22        all      0.53      0.00      4.62     77.05      0.00     17.79
08:19:23        all      0.23      0.00      4.58     69.50      0.00     25.69
08:19:24        all      0.27      0.00      4.51     67.34      0.00     27.89
08:19:25        all      0.21      0.00      4.05     69.67      0.00     26.07
08:19:26        all      0.19      0.00      3.98     69.38      0.00     26.46
08:19:27        all      0.19      0.00      4.08     69.63      0.00     26.10
08:19:28        all      0.20      0.00      4.20     68.38      0.00     27.21
08:19:29        all      0.13      0.00      4.02     69.31      0.00     26.54
08:19:30        all      0.17      0.00     13.75     70.03      0.00     16.04
08:19:31        all      0.21      0.00     19.83     75.43      0.00      4.52
08:19:32        all      0.21      0.00     10.18     87.38      0.00      2.22
08:19:33        all      0.25      0.00     12.39     84.85      0.00      2.51
08:19:34        all      0.23      0.00      9.80     85.31      0.00      4.66
08:19:35        all      0.49      0.00     11.01     77.39      0.00     11.11
08:19:36        all      0.33      0.00      9.56     77.16      0.00     12.94
08:19:37        all      0.30      0.00      9.43     77.84      0.00     12.44
08:19:38        all      0.40      0.00      4.28     75.18      0.00     20.14
08:19:39        all      0.29      0.00      4.20     78.99      0.00     16.52
08:19:40        all      0.16      0.00      4.32     80.55      0.00     14.97
08:19:41        all      0.19      0.00      4.65     82.46      0.00     12.69
08:19:42        all      0.17      0.00      7.47     84.44      0.00      7.92
08:19:43        all      0.19      0.00      5.00     90.04      0.00      4.77
08:19:44        all      0.20      0.00      8.26     86.89      0.00      4.65
08:19:45        all      0.23      0.00     15.38     81.74      0.00      2.65
08:19:46        all      0.13      0.00     12.55     86.18      0.00      1.15
08:19:47        all      0.17      0.00     13.23     85.55      0.00      1.06
08:19:48        all      0.33      0.00     12.75     82.81      0.00      4.12
08:19:49        all      0.25      0.00     11.41     78.84      0.00      9.50
08:19:50        all      0.60      0.00      4.62     76.99      0.00     17.78
08:19:51        all      0.53      0.00      4.69     75.22      0.00     19.55
08:19:52        all      0.33      0.00      4.67     75.77      0.00     19.22
08:19:53        all      0.21      0.00      4.32     79.84      0.00     15.64
08:19:54        all      0.17      0.00      4.43     81.41      0.00     13.99
08:19:55        all      0.23      0.00      4.37     80.73      0.00     14.66
08:19:56        all      0.26      0.00      4.34     80.77      0.00     14.63
08:19:57        all      0.18      0.00      4.41     80.58      0.00     14.82
08:19:58        all      0.22      0.00      4.61     81.37      0.00     13.81
08:19:59        all      0.21      0.00      4.63     81.00      0.00     14.16
08:20:00        all      0.24      0.00      4.70     81.02      0.00     14.05
08:20:01        all      0.18      0.00      7.02     82.30      0.00     10.49
08:20:02        all      0.31      0.00     12.55     81.12      0.00      6.02
08:20:03        all      0.71      0.00     12.56     77.46      0.00      9.28
08:20:04        all      0.53      0.00     11.79     77.06      0.00     10.61
08:20:05        all      0.64      0.00     15.29     74.89      0.00      9.18
08:20:06        all      0.53      0.00     12.75     72.93      0.00     13.79
08:20:07        all      0.14      0.00     25.35     65.44      0.00      9.07
08:20:08        all      0.05      0.00     94.45      4.83      0.00      0.67
08:20:09        all      0.00      0.00    100.00      0.00      0.00      0.00
08:20:10        all      0.01      0.00     99.93      0.00      0.00      0.06
08:20:11        all      0.00      0.00     99.72      0.00      0.00      0.28
08:20:12        all      0.00      0.00     97.17      0.00      0.00      2.83
08:20:13        all      0.00      0.00     95.33      0.01      0.00      4.66
08:20:14        all      0.00      0.00     88.54      0.00      0.00     11.46

Average:        all      0.20      0.00     14.49     70.02      0.00     15.29
